token,count_pos,count_neg,count_total,log_odds_food,sem_sim_food,logodds_z,semsim_z,final_score
單純,11,0,11,-1.0960702312244344,0.9674810767173767,-0.06762173464073579,1.1389512416359122,0.41500745586992344
完整,11,0,11,-1.0960702312244344,0.965232789516449,-0.06762173464073579,1.1178047682946877,0.40654886653343364
很重,13,0,13,-0.9417698171751399,0.9369228482246399,0.1098567120036702,0.851532995466089,0.4065272253886377
鮮甜,38,0,38,0.0846080712891153,0.7486478090286255,1.2904105973393671,-0.9193053100376188,0.40652423438857266
充足,17,0,17,-0.6901558531723602,0.8844681978225708,0.39926653478605434,0.35816592657342305,0.3828262915010018
厲害,38,1,39,-0.6112309009365413,0.86656653881073,0.4900470943237759,0.18979021598743662,0.36994434298924017
不甜,16,0,16,-0.7473891593546016,0.890461266040802,0.333436003221163,0.41453428434224904,0.3658753156695974
薄,16,0,16,-0.7473891593546016,0.8881177306175232,0.333436003221163,0.39249194503073603,0.35705837994499223
硬,62,1,63,-0.12985588310472007,0.7744870781898499,1.043731223719056,-0.6762716725872573,0.35573006519653055
固定,10,0,10,-1.1831564669182955,0.9667395949363708,-0.1677895140357889,1.1319771661225284,0.35211715802753807
完美,65,1,66,-0.08311039679884846,0.7646744847297668,1.0974985214176416,-0.7685649285050498,0.351073141448565
特殊,25,1,26,-1.0176707045295563,0.9260389804840088,0.02255447325342063,0.7491637701590645,0.3131981920156782
偏,64,0,64,0.5973859407569933,0.6295698285102844,1.8802147161910043,-2.0393042761478672,0.3124071192554556
扁,12,0,12,-1.015952659242422,0.9253268241882324,0.024530592440812696,0.7424655182110012,0.3117045627488881
便宜,73,2,75,-0.37626270692089925,0.8054912686347961,0.7603107247986433,-0.3846588900033555,0.3023228788778437
準,12,0,12,-1.015952659242422,0.9221667051315308,0.024530592440812696,0.7127427259627231,0.2998154458495769
很大,81,3,84,-0.5633951211082415,0.8390312194824219,0.5450684625440725,-0.06919577827428618,0.29936276621672897
綿密,29,0,29,-0.17843108353431347,0.7674849629402161,0.987859363809913,-0.7421307155945136,0.2958633320481423
平衡,13,0,13,-0.9417698171751399,0.9063206315040588,0.1098567120036702,0.5637010139482853,0.2913944327815163
吃辣,11,0,11,-1.0960702312244344,0.9337726831436157,-0.06762173464073579,0.8219038262572591,0.2881884897184622
淡,14,0,14,-0.8727020701687049,0.8896886706352234,0.18929937926712162,0.4072675667534644,0.27648665426165875
