token,count_pos,count_neg,count_total,log_odds_food
禮,28,3,31,-1.4992124531137963
部落,6,0,6,-1.5328718289402037
鴨架,6,0,6,-1.5328718289402037
泡水,6,0,6,-1.5328718289402037
柴魚,6,0,6,-1.5328718289402037
溫體,6,0,6,-1.5328718289402037
小包,6,0,6,-1.5328718289402037
溫潤,6,0,6,-1.5328718289402037
明白,6,0,6,-1.5328718289402037
全牛,6,0,6,-1.5328718289402037
芹菜,6,0,6,-1.5328718289402037
單人,6,0,6,-1.5328718289402037
印尼,6,0,6,-1.5328718289402037
麻婆,6,0,6,-1.5328718289402037
米其林,6,0,6,-1.5328718289402037
心意,6,0,6,-1.5328718289402037
書,6,0,6,-1.5328718289402037
民,6,0,6,-1.5328718289402037
城,6,0,6,-1.5328718289402037
店名,6,0,6,-1.5328718289402037
沙爹,6,0,6,-1.5328718289402037
鱈魚,6,0,6,-1.5328718289402037
金黃,6,0,6,-1.5328718289402037
肉塊,6,0,6,-1.5328718289402037
不會,6,0,6,-1.5328718289402037
飲茶,6,0,6,-1.5328718289402037
黃色,6,0,6,-1.5328718289402037
舌,6,0,6,-1.5328718289402037
空盤,6,0,6,-1.5328718289402037
模式,6,0,6,-1.5328718289402037
濕潤度,6,0,6,-1.5328718289402037
中心,6,0,6,-1.5328718289402037
丸子,6,0,6,-1.5328718289402037
紅,6,0,6,-1.5328718289402037
動作,6,0,6,-1.5328718289402037
地圖,6,0,6,-1.5328718289402037
弟弟,6,0,6,-1.5328718289402037
動手,6,0,6,-1.5328718289402037
大片,6,0,6,-1.5328718289402037
合口味,6,0,6,-1.5328718289402037
天婦,6,0,6,-1.5328718289402037
膈膜,6,0,6,-1.5328718289402037
內用區,6,0,6,-1.5328718289402037
陽,6,0,6,-1.5328718289402037
烤麩,6,0,6,-1.5328718289402037
店貓,6,0,6,-1.5328718289402037
兄弟,6,0,6,-1.5328718289402037
台南,6,0,6,-1.5328718289402037
三寶,6,0,6,-1.5328718289402037
小巷子,6,0,6,-1.5328718289402037
開店,6,0,6,-1.5328718289402037
翼板,6,0,6,-1.5328718289402037
火力,6,0,6,-1.5328718289402037
黑色,6,0,6,-1.5328718289402037
淋上,6,0,6,-1.5328718289402037
艾立,6,0,6,-1.5328718289402037
菜餚,6,0,6,-1.5328718289402037
